Start,Finish,Steps (count)
22-Apr-2015 00:00,23-Apr-2015 00:00,20672.0
23-Apr-2015 00:00,24-Apr-2015 00:00,11262.0
24-Apr-2015 00:00,25-Apr-2015 00:00,11187.0
25-Apr-2015 00:00,26-Apr-2015 00:00,16184.0
26-Apr-2015 00:00,27-Apr-2015 00:00,22416.0
27-Apr-2015 00:00,28-Apr-2015 00:00,15862.0
28-Apr-2015 00:00,29-Apr-2015 00:00,10024.0
29-Apr-2015 00:00,30-Apr-2015 00:00,19266.0
30-Apr-2015 00:00,01-May-2015 00:00,16948.0
01-May-2015 00:00,02-May-2015 00:00,12609.0
02-May-2015 00:00,03-May-2015 00:00,17350.0
03-May-2015 00:00,04-May-2015 00:00,24055.0
04-May-2015 00:00,05-May-2015 00:00,14858.0
05-May-2015 00:00,06-May-2015 00:00,9854.0
06-May-2015 00:00,07-May-2015 00:00,11909.0
07-May-2015 00:00,08-May-2015 00:00,12671.0
08-May-2015 00:00,09-May-2015 00:00,18030.0
09-May-2015 00:00,10-May-2015 00:00,27094.0
10-May-2015 00:00,11-May-2015 00:00,17388.0
11-May-2015 00:00,12-May-2015 00:00,11599.0
12-May-2015 00:00,13-May-2015 00:00,12218.0
13-May-2015 00:00,14-May-2015 00:00,10820.0
14-May-2015 00:00,15-May-2015 00:00,23880.0
15-May-2015 00:00,16-May-2015 00:00,17721.0
16-May-2015 00:00,17-May-2015 00:00,21046.0
17-May-2015 00:00,18-May-2015 00:00,28103.0
18-May-2015 00:00,19-May-2015 00:00,13062.0
19-May-2015 00:00,20-May-2015 00:00,11595.0
20-May-2015 00:00,21-May-2015 00:00,20695.0
21-May-2015 00:00,22-May-2015 00:00,0.0
22-May-2015 00:00,23-May-2015 00:00,9813.0
23-May-2015 00:00,24-May-2015 00:00,11454.0
24-May-2015 00:00,25-May-2015 00:00,22096.0
25-May-2015 00:00,26-May-2015 00:00,16257.0
26-May-2015 00:00,27-May-2015 00:00,12064.0
27-May-2015 00:00,28-May-2015 00:00,21823.0
28-May-2015 00:00,29-May-2015 00:00,11905.0
29-May-2015 00:00,30-May-2015 00:00,16715.0
30-May-2015 00:00,31-May-2015 00:00,18854.0
31-May-2015 00:00,01-Jun-2015 00:00,9891.0
01-Jun-2015 00:00,02-Jun-2015 00:00,11466.0
02-Jun-2015 00:00,03-Jun-2015 00:00,14842.0
03-Jun-2015 00:00,04-Jun-2015 00:00,13236.0
04-Jun-2015 00:00,05-Jun-2015 00:00,14446.0
05-Jun-2015 00:00,06-Jun-2015 00:00,10867.0
06-Jun-2015 00:00,07-Jun-2015 00:00,11273.0
07-Jun-2015 00:00,08-Jun-2015 00:00,17501.0
08-Jun-2015 00:00,09-Jun-2015 00:00,9353.0
09-Jun-2015 00:00,10-Jun-2015 00:00,12454.0
10-Jun-2015 00:00,11-Jun-2015 00:00,17176.0
11-Jun-2015 00:00,12-Jun-2015 00:00,11662.0
12-Jun-2015 00:00,13-Jun-2015 00:00,15577.0
13-Jun-2015 00:00,14-Jun-2015 00:00,18591.0
14-Jun-2015 00:00,15-Jun-2015 00:00,17774.0
15-Jun-2015 00:00,16-Jun-2015 00:00,10196.0
16-Jun-2015 00:00,17-Jun-2015 00:00,8551.0
17-Jun-2015 00:00,18-Jun-2015 00:00,15882.0
18-Jun-2015 00:00,19-Jun-2015 00:00,13711.0
19-Jun-2015 00:00,20-Jun-2015 00:00,12303.0
20-Jun-2015 00:00,21-Jun-2015 00:00,28386.0
21-Jun-2015 00:00,22-Jun-2015 00:00,14462.0
22-Jun-2015 00:00,23-Jun-2015 00:00,11998.0
23-Jun-2015 00:00,24-Jun-2015 00:00,12822.0
24-Jun-2015 00:00,25-Jun-2015 00:00,10937.0
25-Jun-2015 00:00,26-Jun-2015 00:00,10499.0
26-Jun-2015 00:00,27-Jun-2015 00:00,17192.0
27-Jun-2015 00:00,28-Jun-2015 00:00,35728.0
28-Jun-2015 00:00,29-Jun-2015 00:00,0.0
29-Jun-2015 00:00,30-Jun-2015 00:00,12926.0
30-Jun-2015 00:00,01-Jul-2015 00:00,14774.0
01-Jul-2015 00:00,02-Jul-2015 00:00,12609.0
02-Jul-2015 00:00,03-Jul-2015 00:00,9040.0
03-Jul-2015 00:00,04-Jul-2015 00:00,9995.0
04-Jul-2015 00:00,05-Jul-2015 00:00,15620.0
05-Jul-2015 00:00,06-Jul-2015 00:00,16001.0
06-Jul-2015 00:00,07-Jul-2015 00:00,12951.0
07-Jul-2015 00:00,08-Jul-2015 00:00,11772.0
08-Jul-2015 00:00,09-Jul-2015 00:00,18958.0
09-Jul-2015 00:00,10-Jul-2015 00:00,16421.0
10-Jul-2015 00:00,11-Jul-2015 00:00,6825.0
11-Jul-2015 00:00,12-Jul-2015 00:00,15068.0
12-Jul-2015 00:00,13-Jul-2015 00:00,18492.0
13-Jul-2015 00:00,14-Jul-2015 00:00,6935.0
14-Jul-2015 00:00,15-Jul-2015 00:00,9494.0
15-Jul-2015 00:00,16-Jul-2015 00:00,14700.0
16-Jul-2015 00:00,17-Jul-2015 00:00,13673.0
17-Jul-2015 00:00,18-Jul-2015 00:00,13948.0
18-Jul-2015 00:00,19-Jul-2015 00:00,13726.0
19-Jul-2015 00:00,20-Jul-2015 00:00,14047.0
20-Jul-2015 00:00,21-Jul-2015 00:00,15389.0
21-Jul-2015 00:00,22-Jul-2015 00:00,22380.0
22-Jul-2015 00:00,23-Jul-2015 00:00,17872.0
23-Jul-2015 00:00,24-Jul-2015 00:00,21670.0
24-Jul-2015 00:00,25-Jul-2015 00:00,22032.0
25-Jul-2015 00:00,26-Jul-2015 00:00,29715.0
26-Jul-2015 00:00,27-Jul-2015 00:00,9310.0
27-Jul-2015 00:00,28-Jul-2015 00:00,7898.0
28-Jul-2015 00:00,29-Jul-2015 00:00,9674.0
29-Jul-2015 00:00,30-Jul-2015 00:00,13242.0
